V,fuir,fliehen,
V,gagner,gewinnen,
V,gagner,verdienen,
V,grever,streiken,
V,habiter,wohnen,
V,harceler,mobben,
V,il s'agit de,es handelt sich,
V,impressioner,beeindrucken,
V,influencer,beeinflussen,
V,insulter,beleidigen,
V,inventer,erfinden,
V,jouer,spielen,
V,laisser faire,lassen,
V,laver,waschen,
V,lire,lesen,
V,manger,essen,
V,manifester,demonstrieren,
V,monter,steigen,
V,montrer,zeigen,
V,nager,schwimmen,
V,ordonner,befehlen,
V,ouvrir,öffnen,
V,parler,reden,
V,passer (du temps),verbringen,
V,peindre,malen,
V,penser,denken,
V,perdre,verlieren,
V,photographier,fotografieren,
V,planifier,planen,
V,pouvoir,können,
V,prendre,nehmen,
V,prendre au sérieux,ernst nehmen,
V,produire (un effet),bewirken,
V,protéger,schützen,
V,raconter,erzählen,
V,recommander,empfehlen,
V,rencontrer,treffen,
V,répondre,antworten,
V,ressentir,empfinden,
V,rester,bleiben,
V,s'amuser,Spaß haben,
V,s'appeller,heißen,
V,s'ennuyer,sich langweilen,
V,s'occuper de,sich kümmern um,
V,savoir,wissen,
V,se battre / lutter,kampfen,
V,se détendre,chillen,
V,se moquer,sich lustig machen,
V,se rappeler,sich erinnern an,
V,se sentir,sich fühlen,
V,se tenir les coudes,zusammen halten,
V,signifier,bedeuten,
V,tenir arrêter,halten,
V,tenir serré dans ses bras,fest halten,
V,tomber,fallen,
V,transformer,verwandeln,
V,transmettre,vermitteln,
V,trouver,finden,
V,utiliser mettre à profit,nutzen,
V,venir,kommen,
V,visiter,besuchen,
V,vivre (une expérience),erleben,
V,voir,sehen,
V,voler,fliegen,
V,voler,stehlen,
V,voyager,reisen,
VC,accompagner : conjugué (il) > er (...),er begleitet,accompagner
VC,agir : conjugué (il) > er (...),er handelt,agir
VC,aider : conjugué (il) > er (...),er hilft,aider
VC,aimer : conjugué (il) > er (...),er liebt,aimer
VC,aimer bien : conjugué (il) > er (...),er mag,aimer bien
VC,aller à pied : conjugué (il) > er (...),er geht,aller à pied
VC,aller en vehicule : conjugué (il) > er (...),er fährt,aller en vehicule
VC,améliorer : conjugué (il) > er (...),er verbessert,améliorer
VC,apporter : conjugué (il) > er (...),er bringt,apporter
VC,assoir : conjugué (il) > er (...),er setzt sich,assoir
VC,augmenter : conjugué (il) > er (...),er steigt,augmenter
VC,avoir : conjugué (il) > er (...),er hat,avoir
VC,avoir honte : conjugué (il) > er (...),er schämt,avoir honte
VC,avoir le droit : conjugué (il) > er (...),er darf,avoir le droit
VC,avoir lieu : conjugué (il) > er (...),es findet statt,avoir lieu
VC,boire : conjugué (il) > er (...),er trinkt,boire
VC,briller : conjugué (il) > er (...),er scheint,briller
VC,casser : conjugué (il) > er (...),er bricht,casser
VC,changer : conjugué (il) > er (...),er ändert,changer
VC,chanter : conjugué (il) > er (...),er singt,chanter
VC,charger uploader : conjugué (il) > er (...),er lädt hoch,charger uploader
VC,chercher : conjugué (il) > er (...),er sucht,chercher
VC,choisir élire : conjugué (il) > er (...),er wählt,choisir élire
VC,commencer : conjugué (il) > er (...),er beginnt,commencer
VC,comparer : conjugué (il) > er (...),er vergleicht,comparer
VC,comprendre : conjugué (il) > er (...),er versteht,comprendre
VC,confiance : conjugué (il) > er (...),er vertraut,confiance
VC,confondre : conjugué (il) > er (...),er verwechselt,confondre
VC,connaître : conjugué (il) > er (...),er kennt,connaître
VC,consommer : conjugué (il) > er (...),er verbraucht,consommer
VC,copier : conjugué (il) > er (...),er kopiert,copier
VC,courir marcher : conjugué (il) > er (...),er läuft,courir marcher
VC,coûter : conjugué (il) > er (...),es kostet,coûter
VC,crée : conjugué (il) > er (...),er schafft,crée
VC,crier : conjugué (il) > er (...),er schreit,crier
VC,croître grandir : conjugué (il) > er (...),er wächst,croître grandir
VC,cuisiner bouillir : conjugué (il) > er (...),et kocht,cuisiner bouillir
VC,découvrir : conjugué (il) > er (...),er entdeckt,découvrir
VC,demander : conjugué (il) > er (...),er fragt,demander
VC,dénoncer : conjugué (il) > er (...),er prangert an,dénoncer
VC,devenir : conjugué (il) > er (...),er wird,devenir
VC,devoir physique : conjugué (il) > er (...),er muss,devoir physique
VC,devoir morale : conjugué (il) > er (...),er soll,devoir morale
VC,diffuser répondre : conjugué (il) > er (...),er verbreitet,diffuser répondre
VC,dire : conjugué (il) > er (...),er sagt,dire
VC,diriger : conjugué (il) > er (...),er steuert,diriger
VC,discuter papoter : conjugué (il) > er (...),er unterhält sich,discuter papoter
VC,disputer : conjugué (il) > er (...),er streitet sich,disputer
VC,écouter : conjugué (il) > er (...),er hört,écouter
VC,écrir : conjugué (il) > er (...),er schreibt,écrir
VC,énerver : conjugué (il) > er (...),er nervt,énerver
VC,enseigner : conjugué (il) > er (...),er unterrichtet,enseigner
VC,essayer : conjugué (il) > er (...),er versucht,essayer
VC,être : conjugué (il) > er (...),er ist,être
VC,être assis : conjugué (il) > er (...),er sitzt,être assis
VC,exclure : conjugué (il) > er (...),er schließt aus,exclure
VC,expliquer : conjugué (il) > er (...),er erklärt,expliquer
VC,exprimer : conjugué (il) > er (...),er drückt aus,exprimer
VC,faire : conjugué (il) > er (...),er marcht,faire
VC,foyer : conjugué (il) > er (...),er bezahlt,foyer
VC,fuir : conjugué (il) > er (...),er fliecht,fuir
VC,gagner : conjugué (il) > er (...),er gewinnt,gagner
VC,grever : conjugué (il) > er (...),er streikt,grever
VC,habiter : conjugué (il) > er (...),er wohnt,habiter
VC,harceler : conjugué (il) > er (...),er mobbt,harceler
VC,il s'agit de : conjugué (il) > er (...),es handelt sich,il s'agit de
VC,impressioner : conjugué (il) > er (...),er beeindruckt,impressioner
VC,influencer : conjugué (il) > er (...),er beeinflusst,influencer
VC,insister signaler : conjugué (il) > er (...),er hebt hervor,insister signaler
VC,insulter : conjugué (il) > er (...),er beleidigt,insulter
VC,inventer : conjugué (il) > er (...),er erfindet,inventer
VC,jeter : conjugué (il) > er (...),er wirft,jeter
VC,jouer : conjugué (il) > er (...),er spielt,jouer
VC,laisser faire : conjugué (il) > er (...),er lässt,laisser faire
VC,laver : conjugué (il) > er (...),er wächt,laver
VC,laver : conjugué (il) > er (...),er wäscht,laver
VC,lire : conjugué (il) > er (...),er liest,lire
VC,location : conjugué (il) > er (...),er leiht,location
VC,manger : conjugué (il) > er (...),er isst,manger
VC,monter : conjugué (il) > er (...),er steigt,monter
VC,montrer : conjugué (il) > er (...),er zeigt,montrer
VC,mourir : conjugué (il) > er (...),er stirbt,mourir
VC,nager : conjugué (il) > er (...),er schwimmt,nager
VC,obliger : conjugué (il) > er (...),er zwingt,obliger
VC,offrir enchérir : conjugué (il) > er (...),er bietet,offrir enchérir
VC,ordonner : conjugué (il) > er (...),er befiehlt,ordonner
VC,oublier : conjugué (il) > er (...),er vergisst,oublier
VC,ouvrir : conjugué (il) > er (...),er öffnet,ouvrir
VC,parler : conjugué (il) > er (...),er reden,parler
VC,parler : conjugué (il) > er (...),er spricht,parler
VC,passer (du temps) : conjugué (il) > er (...),er verbringt,passer (du temps)
VC,penser : conjugué (il) > er (...),er denkt,penser
VC,perdre : conjugué (il) > er (...),er verliert,perdre
VC,perdre : conjugué (il) > er (...),er verliert,perdre
VC,photographier : conjugué (il) > er (...),er fotografiert,photographier
VC,plaire : conjugué (il) > er (...),er gefällt,plaire
VC,planifier : conjugué (il) > er (...),er plant,planifier
VC,porter : conjugué (il) > er (...),er trägt,porter
VC,poser : conjugué (il) > er (...),er stellt,poser
VC,pouvoir : conjugué (il) > er (...),ich kann,pouvoir
VC,prendre : conjugué (il) > er (...),er nimmt,prendre
VC,prendre au sérieux : conjugué (il) > er (...),er nimmt ernst,prendre au sérieux
VC,produire (un effet) : conjugué (il) > er (...),es bewirkt,produire (un effet)
VC,profiter (de qqc) : conjugué (il) > er (...),er genießt,profiter (de qqc)
VC,protéger : conjugué (il) > er (...),er schützt,protéger
VC,raconter : conjugué (il) > er (...),er erzählt,raconter
VC,recommander : conjugué (il) > er (...),er empfiehlt,recommander
VC,rencontrer : conjugué (il) > er (...),er trifft,rencontrer
VC,répondre : conjugué (il) > er (...),er antwortet,répondre
VC,ressentir : conjugué (il) > er (...),er empfindet,ressentir
VC,rester : conjugué (il) > er (...),er bleibt,rester
VC,s'amuser : conjugué (il) > er (...),er hat Spaß,s'amuser
VC,s'appeller : conjugué (il) > er (...),er heißt,s'appeller
VC,s'ennuyer : conjugué (il) > er (...),er langweilt sich,s'ennuyer
VC,s'occuper de : conjugué (il) > er (...),er kümmert,s'occuper de
VC,sauter : conjugué (il) > er (...),er springt,sauter
VC,savoir : conjugué (il) > er (...),er weiß,savoir
VC,se battre / lutter : conjugué (il) > er (...),er kämpft - kämpfte,se battre / lutter
VC,se passer : conjugué (il) > er (...),er geschieht,se passer
VC,se rappeler : conjugué (il) > er (...),er erinnert,se rappeler
VC,se sentir : conjugué (il) > er (...),er fühlt sich,se sentir
VC,se taire : conjugué (il) > er (...),er schweigt,se taire
VC,se tenir les coudes : conjugué (il) > er (...),sie halten zusammen,se tenir les coudes
VC,signifier : conjugué (il) > er (...),es bedeutet,signifier
VC,souffrire : conjugué (il) > er (...),er leidet,souffrire
VC,tenir arrêter : conjugué (il) > er (...),er hält,tenir arrêter
VC,tenir serré dans ses bras : conjugué (il) > er (...),er hält fest,tenir serré dans ses bras
VC,tirer infuser : conjugué (il) > er (...),er zieht,tirer infuser
VC,tomber : conjugué (il) > er (...),er fällt,tomber
VC,transformer : conjugué (il) > er (...),er verwandelt,transformer
VC,transmettre : conjugué (il) > er (...),er vermittelt,transmettre
VC,trouver : conjugué (il) > er (...),er findet,trouver
VC,utiliser mettre à profit : conjugué (il) > er (...),er nutz,utiliser mettre à profit
VC,valoir : conjugué (il) > er (...),er gilt,valoir
VC,venir : conjugué (il) > er (...),er kommt,venir
VC,visiter : conjugué (il) > er (...),er besucht,visiter
VC,vivre (une expérience) : conjugué (il) > er (...),er erlebt,vivre (une expérience)
VC,voir : conjugué (il) > er (...),er sieht,voir
